BankRef,ValueDate,TransactionDate,Description,DebitAmount,CreditAmount,RunningBalance,BankCode,AccountNumber,TransactionType,Reference,Counterparty,ReconciliationStatus
BANK-001,2024-01-03,2024-01-03,TRANSFER IN - CORPORATE TREASURY,0.00,250000.00,1250000.00,CITI-USD,ACCT-001-USD,CREDIT,REF-OB-001,TREASURY CORP,Matched
BANK-002,2024-01-04,2024-01-04,VENDOR PAYMENT - OFFICE DEPOT,15420.50,0.00,1234579.50,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00001,OFFICE DEPOT LLC,Matched
BANK-003,2024-01-04,2024-01-04,VENDOR PAYMENT - STEELMAN METALS,87500.00,0.00,1147079.50,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00002,STEELMAN METALS INC,Matched
BANK-004,2024-01-05,2024-01-05,ACH PAYROLL BATCH 1,245000.00,0.00,902079.50,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00003,PAYROLL-SVCS,Matched
BANK-005,2024-01-05,2024-01-05,VENDOR PAYMENT - SERVER FARM CO,33800.00,0.00,868279.50,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00005,SERVER FARM CO,Matched
BANK-006,2024-01-07,2024-01-08,BANK SERVICE FEE - JANUARY,320.00,0.00,867959.50,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00008,CITIBANK NA,Matched
BANK-007,2024-01-09,2024-01-09,VENDOR PAYMENT - HAMILTON LAW,18500.00,0.00,849459.50,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00009,HAMILTON LAW GROUP,Matched
BANK-008,2024-01-09,2024-01-09,VENDOR PAYMENT - METRO POWER,9870.00,0.00,839589.50,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00010,METRO POWER UTILITY,Matched
BANK-009,2024-01-12,2024-01-12,PAYMENT RECEIVED - ALPHA CORP,98500.00,0.00,741089.50,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00015,ALPHA CORP LTD,Matched
BANK-010,2024-01-12,2024-01-13,VENDOR PAYMENT - HEALTHGROUP,38900.00,0.00,702189.50,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00016,HEALTHGROUP INSURANCE,Matched
BANK-011,2024-01-15,2024-01-15,CUSTOMER RECEIPT - ALPHA CORP,0.00,98500.00,800689.50,CITI-USD,ACCT-001-USD,CREDIT,CUST-B202,ALPHA CORPORATION,Matched
BANK-012,2024-01-16,2024-01-17,VENDOR PAYMENT - AD AGENCY 360,28750.00,0.00,771939.50,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00007,AD AGENCY 360,Matched
BANK-013,2024-01-17,2024-01-17,VENDOR PAYMENT - AWS,18920.40,0.00,753019.10,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00021,AMAZON WEB SERVICES,Matched
BANK-014,2024-01-18,2024-01-18,VENDOR PAYMENT - SUPPLYCHAIN CORP,67800.00,0.00,685219.10,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00023,SUPPLYCHAIN CORP,Matched
BANK-015,2024-01-19,2024-01-19,WIRE TRANSFER - INTERCOMPANY BU NORTH,150000.00,0.00,535219.10,CITI-USD,ACCT-001-USD,DEBIT,IC-2024-001,BU NORTH ENTITY,Matched
