InvoiceID,VendorID,VendorName,VendorCategory,InvoiceDate,InvoiceReceivedDate,DueDate,InvoiceAmount,TaxAmount,TotalAmount,PaidAmount,OutstandingAmount,Currency,PaymentTerms,PurchaseOrderRef,Department,CostCenter,ApprovalStatus,PaymentStatus,GRN_Status,SAP_DocumentRef,Notes
INV-2024-0001,VEND-001,Office Depot LLC,Office Supplies,2024-01-02,2024-01-03,2024-01-17,15420.50,0.00,15420.50,15420.50,0.00,USD,NET-15,PO-2024-0001,Finance,CC-FIN-01,Approved,Paid,GRN-Received,SAP-TXN-00001,
INV-2024-0002,VEND-002,Steelman Metals Inc,Raw Materials,2024-01-02,2024-01-03,2024-02-01,87500.00,0.00,87500.00,87500.00,0.00,USD,NET-30,PO-2024-0002,Operations,CC-OPS-01,Approved,Paid,GRN-Received,SAP-TXN-00002,
INV-2024-0003,VEND-003,Hamilton Law Group,Professional Services,2024-01-08,2024-01-09,2024-01-23,18500.00,0.00,18500.00,18500.00,0.00,USD,NET-14,PO-2024-0003,Legal,CC-LEG-01,Approved,Paid,GRN-NA,SAP-TXN-00009,
INV-2024-0004,VEND-004,Metro Power Utility,Utilities,2024-01-07,2024-01-09,2024-01-21,9870.00,0.00,9870.00,9870.00,0.00,USD,NET-14,PO-NONE,Operations,CC-OPS-01,Approved,Paid,GRN-NA,SAP-TXN-00010,
INV-2024-0005,VEND-005,Server Farm Co,IT Hardware,2024-01-03,2024-01-05,2024-02-03,33800.00,0.00,33800.00,33800.00,0.00,USD,NET-30,PO-2024-0005,IT,CC-IT-01,Approved,Paid,GRN-Received,SAP-TXN-00005,
INV-2024-0006,VEND-006,HealthGroup Insurance,Employee Benefits,2024-01-10,2024-01-12,2024-01-26,38900.00,0.00,38900.00,38900.00,0.00,USD,NET-14,PO-NONE,HR,CC-HR-01,Approved,Paid,GRN-NA,SAP-TXN-00016,
INV-2024-0007,VEND-007,Ad Agency 360,Marketing Services,2024-01-14,2024-01-16,2024-01-30,28750.00,0.00,28750.00,28750.00,0.00,USD,NET-14,PO-2024-0007,Marketing,CC-MKT-01,Approved,Paid,GRN-NA,SAP-TXN-00007,
INV-2024-0008,VEND-008,Amazon Web Services,Cloud Services,2024-01-16,2024-01-17,2024-01-31,18920.40,0.00,18920.40,18920.40,0.00,USD,NET-14,PO-NONE,IT,CC-IT-01,Approved,Paid,GRN-NA,SAP-TXN-00021,
INV-2024-0009,VEND-009,SupplyChain Corp,Supplier Services,2024-01-16,2024-01-18,2024-02-16,67800.00,0.00,67800.00,67800.00,0.00,USD,NET-30,PO-2024-0009,Operations,CC-OPS-01,Approved,Paid,GRN-Received,SAP-TXN-00023,
INV-2024-0010,VEND-010,Raw Materials Inc,Raw Materials,2024-01-20,2024-01-22,2024-02-20,92400.00,0.00,92400.00,92400.00,0.00,USD,NET-30,PO-2024-0010,Operations,CC-OPS-02,Approved,Paid,GRN-Received,SAP-TXN-00027,
INV-2024-0011,VEND-011,Tech Depot Intl,IT Hardware,2024-01-22,2024-01-23,2024-02-22,44200.00,0.00,44200.00,44200.00,0.00,USD,NET-30,PO-2024-0011,IT,CC-IT-02,Approved,Paid,GRN-Received,SAP-TXN-00030,
INV-2024-0012,VEND-012,Salesforce Inc,Software License,2024-01-23,2024-01-24,2024-02-07,31500.00,0.00,31500.00,31500.00,0.00,USD,NET-14,PO-2024-0012,Sales,CC-SAL-02,Approved,Paid,GRN-NA,SAP-TXN-00034,
INV-2024-0013,VEND-013,Print Media Group,Marketing Services,2024-01-26,2024-01-28,2024-02-11,19500.00,0.00,19500.00,19500.00,0.00,USD,NET-14,PO-2024-0013,Marketing,CC-MKT-01,Approved,Paid,GRN-NA,SAP-TXN-00038,
INV-2024-0014,VEND-014,Ext Consultants LLC,Contractor,2024-01-29,2024-01-30,2024-02-12,55000.00,0.00,55000.00,55000.00,0.00,USD,NET-14,PO-2024-0014,HR,CC-HR-03,Approved,Paid,GRN-NA,SAP-TXN-00040,
INV-2024-0015,VEND-015,Rent Corp Properties,Facilities,2024-01-25,2024-01-30,2024-02-14,28500.00,0.00,28500.00,28500.00,0.00,USD,NET-14,PO-NONE,Finance,CC-FIN-01,Approved,Paid,GRN-NA,SAP-TXN-00041,
INV-2024-0016,VEND-016,Global Supply Co,Raw Materials,2024-01-30,2024-02-01,2024-03-01,43000.00,0.00,43000.00,43000.00,0.00,USD,NET-30,PO-2024-0016,Operations,CC-OPS-01,Approved,Paid,GRN-Received,SAP-TXN-00044,
INV-2024-0017,VEND-008,Amazon Web Services,Cloud Services,2024-02-01,2024-02-02,2024-02-16,15670.80,0.00,15670.80,15670.80,0.00,USD,NET-14,PO-NONE,IT,CC-IT-01,Approved,Paid,GRN-NA,SAP-TXN-00046,
INV-2024-0018,VEND-017,Logistics Express,Freight,2024-01-24,2024-01-25,2024-02-08,14350.00,0.00,14350.00,14350.00,0.00,USD,NET-14,PO-2024-0018,Operations,CC-OPS-02,Approved,Paid,GRN-NA,SAP-TXN-00018,
INV-2024-0019,VEND-018,SEO Masters Agency,Digital Marketing,2024-01-26,2024-01-28,2024-02-11,16800.00,0.00,16800.00,0.00,16800.00,USD,NET-14,PO-2024-0019,Marketing,CC-MKT-02,Approved,Pending Payment,GRN-NA,,Awaiting payment run
INV-2024-0020,VEND-019,Conference Events Ltd,Events,2024-01-15,2024-01-19,2024-01-29,35000.00,0.00,35000.00,0.00,35000.00,USD,NET-14,PO-2024-0020,Marketing,CC-MKT-01,Approved,Overdue,,Overdue by 2 days
INV-2024-0021,VEND-020,Security Systems Inc,IT Security,2024-01-26,2024-01-29,2024-02-12,8900.00,0.00,8900.00,0.00,8900.00,USD,NET-14,PO-2024-0021,IT,CC-IT-01,Approved,Pending Payment,GRN-NA,,
INV-2024-0022,VEND-021,Customs & Freight,Import Duties,2024-01-30,2024-01-31,2024-02-14,6750.00,0.00,6750.00,6750.00,0.00,USD,NET-14,PO-NONE,Operations,CC-OPS-02,Approved,Paid,GRN-NA,SAP-TXN-00042,
INV-2024-0023,VEND-022,Market Research Co,Research,2024-02-01,2024-02-05,2024-02-19,14000.00,0.00,14000.00,0.00,14000.00,USD,NET-14,PO-2024-0023,Marketing,CC-MKT-02,Pending Approval,Pending Payment,GRN-NA,,Awaiting PO approval
INV-DISPUTE-001,VEND-010,Raw Materials Inc,Raw Materials,2024-01-18,2024-01-20,2024-02-18,25000.00,0.00,25000.00,0.00,25000.00,USD,NET-30,PO-DISPUTE-01,Operations,CC-OPS-01,Disputed,On Hold,GRN-Partial,SAP-TXN-ERROR-01,Price variance 15% - under review
INV-MISSING-PO,VEND-999,Unknown Vendor LLC,Unknown,2024-01-21,2024-01-21,2024-02-04,4500.00,0.00,4500.00,4500.00,0.00,USD,NET-14,NONE,Unknown,,Not Approved,Paid,GRN-NA,BANK-UNMATCHED-001,Payment made without PO - exception flagged
